,Title,Location,Price,description,Links
976,A room for rent,Mississauga / Peel Region,$900.00,"A room for rent for a single or couple wifi included only hydro to be paid. Has a tennis court , gym , swimming pool and open lawns. Its a 2 bed 2 bath so the room will get a private bathroom .",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/a-room-for-rent/1533095320
977,LARGE 3 BEDROOMS FOR RENT IN BEAUTIFUL CASA LOMA HOME!!,City of Toronto,$980.00,"Viewings Mon-Fri 5-7pm, or weekends anytime. 3 gorgeous bedrooms available for rent to students, roommates, or young professionals in the prestigious Casa Loma neighborhood. Fully renovated, ALL ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-3-bedrooms-for-rent-in-beautiful-casa-loma-home/1533095248
978,One Nice Room for Rent - Available Immediately,City of Toronto,$480.00,"I'm a Professional Engineer, an easygoing, kind and caring person. It's a very nice, furnished, clean and comfortable room in a detached house on a quiet street. Immaculate baths and kitchen. Walking ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-nice-room-for-rent-available-immediately/1533094593
979,"Beautiful Room in Markham Highway 7 Warden, IBM, Aviva, CDI",Markham / York Region,$860.00,"Available: January 1st, 2021 for one person, no parking Beautiful Furnished Room in Markham Highway 7 Warden, IBM, Aviva, CDI Perfect for student/working professionals. A minute walk to Aviva, ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/beautiful-room-in-markham-highway-7-warden-ibm-aviva-cdi/1533094341
980,Room available for rent (Dec and Jan),City of Toronto,$350.00,"Room available for 1boy in a 2 bedroom suite for 2 months (December and January). Will be shared with 3 other boys. Rent - 350CAD including everything (hydro, wifi) 2mins walk to donmills subway. ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-available-for-rent-dec-and-jan/1533093656
981,FEMALE ROOMMATE WANTED (Indians Preferred) DECEMBER 1ST.,City of Toronto,$760.00,Looking for a female indian roommate to share a 3 bedroom apartment with 2 other girls You will have your own private room. Rent: $760+utilities/month Location: Keele and Sheppard Lease: Month to ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/female-roommate-wanted-indians-preferred-december-1st/1533093106
982,Room Near Humber College,Mississauga / Peel Region,$350.00,Room available on sharing and single occupancy basis near Humber College. Close to Humber college and York university. Rent includes all utilities. No parking no partying. Prefer someone from south ...,https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-near-humber-college/1533092620
983,Room For Rent On Ground Floor In a House.,City of Toronto,$850.00,"I have one room available for rent in a house on ground floor and have separate entrance. The big room is for $850, you can use living area and kitchen and basement. Comes with 1 full Washroom and 1 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-on-ground-floor-in-a-house/1533092498
984,Room $350 in Scarborough,City of Toronto,$350.00,Looking for people to rent my room,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-350-in-scarborough/1533092486
985,"Nov 1.Own private Room Available Harbourfront, Queens Quay",City of Toronto,$700.00,"For Nov 1. Short or Long term . One month OK to 12 months .Queens Quay Spadina, room 10 by 12 (no window). Male or Female. No last months rent needed. Shared Kitchen and bath with 3 others. In a ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/nov-1-own-private-room-available-harbourfront-queens-quay/1532981437
986,Large Apt Downtown Near Subway+Big Furnished Private Room+View,City of Toronto,$975.00,Seeking great roommate to share Furnished Fabulous Clean Apt Downtown Toronto- Top Speed Unlimited WiFi--2 minutes to subway & buses. Short walk to universities & business district - Large private ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-apt-downtown-near-subway-big-furnished-private-room-view/1533092072
987,Accommodation in Etobicoke,City of Toronto,PleaseContact,"Accommodation is available from 1st December, 2020. We are looking for Gujarati students or couple to rent our room. Address is 5 Provence trail, Etobicoke, ON - M9V5B6. The location is convenient ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/accommodation-in-etobicoke/1533091343
988,A Room For Rent For 1,Markham / York Region,$550.00,"A room for rent for 1 person only. Utilities are all included. If you have any questions, please contact 647-403-0077",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/a-room-for-rent-for-1/1533090314
989,Master bedroom with private en-suite bathroom in Downtown,City of Toronto,"$1,100.00","Bright newly renovated Masteroom in the city centre of Toronto, huge bayview windows oversees the outside street. And private 4 pieces en-suite bathroom. Free anytime for showing. Send me a brief ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-bedroom-with-private-en-suite-bathroom-in-downtown/1533090182
990,Basement rental for female student/professionals,City of Toronto,PleaseContact,"Private Room or Bed in two person shared room–All inclusive (Electricity, Hydro, Water, Wi-Fi) Available -private room with attached washroom and/or one bed in 2 person's shared room available (both ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-rental-for-female-student-professionals/1532776014
991,"York University, 1br or 2br, near subway",City of Toronto,$575.00,"1 or 2 brs available in York University village; medium (3rd pic) and small (pic 5 & 6), 5 min walk to subway & campus, 3 people living in the house, shared kitchen, shared washroom with 1 person, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-1br-or-2br-near-subway/1512103032
992,"ROOM 4 RENT (3 Professional Guys), Bathurst/Habord, $780 All-IN",City of Toronto,$780.00,"ROOM for RENT $780/Mo., includes ALL UTILITIES & INTERNET! Potential for Nov 1 move in also. 6 Month or 12 Month lease options. We are a house of 3 young professionals (Males 25-30) who are looking ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-4-rent-3-professional-guys-bathurst-habord-780-all-in/1532840446
993,York University Room for Rent,City of Toronto,$650.00,"Available immediately, Rooms from $650-800 Very close to Finch West subway station Everything is included: -all utilities -free wifi internet with unlimited download -free laundry -furnished with ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university-room-for-rent/1520503095
994,Beautiful Furnished Room in Friendly Home with Sauna,City of Toronto,$875.00,"Welcome to our home! We are a couple of health-conscious, wellness-obsessed, biohackers and this is our co-living home! We are located between Sheppard Station (20 minute walk) and Bayview Village ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/beautiful-furnished-room-in-friendly-home-with-sauna/1532124045
995,A Room For Rent For 1,City of Toronto,$700.00,"A Room For 1 Person only. Utilities are all included. If you have any questions, please contact 647-403-0077",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-room-for-rent-for-1/1533090039
996,Newly built room available in basement fr girl in Malton frm Dec,Mississauga / Peel Region,$500.00,"Single Spacious Private room with in-built mirror closet available in basement for Single working girl in Malton. Close to all basic amenities such as Westwood Mall, Bus Terminal, Banks, Walmart, ...",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/newly-built-room-available-in-basement-fr-girl-in-malton-frm-dec/1533089285
997,Room for rent only girls,Mississauga / Peel Region,$450.00,"I’m offering room in a shared 4 bedroom basement, other rooms already occupied with girls. All utilities included. Available from Nov. 1st 2020 Call me @ 6472781775 for further information No males ...",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent-only-girls/1533089024
998,Two Bed Room Furnished Basement at Markham & Ellesmere.,City of Toronto,"$1,700.00","Two Bed Room Furnished Basement at Markham & Ellesmere. Ideal for College/University Students max of 4 or a young family couple (no parking) Features: Furnished 2 Bed Rooms with Beds, mattress, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/two-bed-room-furnished-basement-at-markham-ellesmere/1533088486
999,Private Furnished Delux Room,City of Toronto,"$1,155.00","New Unit with 3 bedrooms Located In the Downtown Core! $1155 all utilities included Available from Dec 1st. Private Furnished Room available with Modern furniture, kitchen utensils and new toilet and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-furnished-delux-room/1533087533
1000,Room for Rent near Humber Collage north Campus,City of Toronto,$650.00,Room in basement for Rent near Humber Collage north Campus for a South Asian female student. All amenities included together with laundry and WiFi Walking distance to Humber collage north. and the ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-near-humber-collage-north-campus/1533087296
1001,Close to Seneca collage Newnhum Campus,City of Toronto,$900.00,"Newly renovated amazing 1 out of 3 large size bedrooms is available from December 1st. It is a ground floor walkout basement Family Home In High Demand School Area: A.Y. Jackson S.S., Seneca Collage ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/close-to-seneca-collage-newnhum-campus/1533087281
1002,"<<for Lady>> Luxury Master Room and 1 more,,near Finch Subway",City of Toronto,$770.00,"specious Master room and another Big room,,... 5 min.on foot Finch subway, .....Both Luxury and clean..... Fully furnished...furniture, bedding, kitchenware etc.......Fridge in each rooms ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/for-lady-luxury-master-room-and-1-more-near-finch-subway/1533087114
1003,Room For Rent,Markham / York Region,$750.00,"Large Room for rent in a beautiful house on second floor with En-suit washroom and all utilities included. Walking distance to shops, grocery store and bus stops. If the ad is active, Property is ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/room-for-rent/1531753693
1004,Close to Seneca collage,City of Toronto,$550.00,"One out of three Rooms is available from November/December 1st, 2020 close to Seneca Newnhum Campus. The Room contains a twin size bed, study table and a chair. The apartment is very close to major ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/close-to-seneca-collage/1533086223
1005,Single room,City of Toronto,$550.00,Accommodation available Single room in a 3 bedroom House,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/single-room/1533086006
1006,Private Furnished Room,City of Toronto,$955.00,"New Unit with 3 bedrooms Located In the Downtown Core! $955 all utilities included Available from Dec 1st. Private Furnished Room available with Private Balcony,Modern furniture, kitchen utensils and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-furnished-room/1533085941
1007,looking for indian male roommate to share 4 bhk house,City of Toronto,$650.00,"looking for a indian Male roomate for a single room in 4 bhk house located near sheppard and washbourn way. Rent Inclusive of Home Internet, hydro & utilities..no car parking walkable to freshland ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-indian-male-roommate-to-share-4-bhk-house/1533085715
1008,Basement available in Malton on Wildfern Drive,Mississauga / Peel Region,PleaseContact,"The basement is available in Malton after Dec 1st. Its located near finch and darcel intersection. Humbler College, West Wood Mall and the buss terminal is very close by. Even the Buss stop is right ...",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/basement-available-in-malton-on-wildfern-drive/1533085494
1009,Master Bedroom near Fairview Mall/Seneca & Lambton College,City of Toronto,PleaseContact,Spacious Master bedroom ready for move in from 1st November 2020. Suitable for sharing basis as well if you want to share it with friends or family. Rent includes Hydro & WiFi for a Master bedroom in ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-bedroom-near-fairview-mall-seneca-lambton-college/1533085256
1010,Private Furnished Room! DowntownToronto!,City of Toronto,"$1,055.00","New Unit with 3 bedrooms Located In the Downtown Core! $1055 all utilities included Available from Dec 1st. Private Furnished Room available with Modern furniture, kitchen utensils and new toilet and ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-furnished-room-downtowntoronto/1533084964
1011,A room for female tenant,City of Toronto,$600.00,"A room is available for a female tenant from beginning of December. Apartment is right at donmills station and close by many facilities such as Seneca College, Centennial College, Fairview Mall, 24 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/a-room-for-female-tenant/1533084811
1012,Gorgeous bedroom in newly renovated house 5min walk Main Subway,City of Toronto,$650.00,"Gorgeous and Spacious bedrooms for rent in newly renovated detached house. 5-minute walk from Main Street subway $650 per month first room, utilities not included $550 per month second room, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/gorgeous-bedroom-in-newly-renovated-house-5min-walk-main-subway/1533084361
1013,"1 bed room,Finch/Don mills,close Seneca,Lambton,ttc/yrt Bus",City of Toronto,$550.00,"No smoking, no parking. 1 bed rooms available on 2nd floor in a house, good location is Finch/Don mills mall, on Seneca hill, close Seneca College, TTC/YRT bus, Subway and high way 404/401, Fair View ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-bed-room-finch-don-mills-close-seneca-lambton-ttc-yrt-bus/1533084032
1014,"ROOM FOR RENT, DUFFERIN AND STEELES",City of Toronto,$650.00,"Working FEMALE only. Private Room in a basement apartment available ($650 month ), lease agreement MINIMUM 6 months. Available on NOVEMBER 10th. PHILIPPINA friendly. Excellent location on Steeles & ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-dufferin-and-steeles/1533083729
1015,Room rental- Beach,City of Toronto,$850.00,"2 Rooms Available Medium-size Furnished Bedroom, 1st Floor room, all utilities $850 Larger room, double bed, 1st floor, private walkout, utilities included $850 First and Last required & Security ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-rental-beach/1533083649
1016,Large Bedroom by CN Tower/Union Station,City of Toronto,"$1,200.00","Men ONLY!! Gay friendly!! Absolutely NO SMOKERS, One large 17’x9’, w/closet $1200, with full shared bath with 1 young gentlemen. Very clean, modern, spacious open condo with South-SouthWest view ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-bedroom-by-cn-tower-union-station/1533083504
1017,ROOM FOR RENT- SCARBOROUGH,City of Toronto,PleaseContact,INDIAN MALE ONLY!!!!!! Morningside and McNicoll EASY TRANSIT Private room Message for PRICE,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-scarborough/1533082674
1018,Room for Rent,City of Toronto,$600.00,"In the Heart of Scarborough, conveniently located, TTC at the doorsteps. No-frills, Shoppers, Restaurant, Bank within a minute walking distance. Idle for Student or Working professional..... The room ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent/1533081998
1019,One bedroom apartment for rent,City of Toronto,$320.00,It's Two bedroom basement but now only one room is available for female students who are interested in the single private room rent is $520 or shared room with another female student rent is $320. ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-bedroom-apartment-for-rent/1533081886
1020,LUXURIOUS Water Condo- BRAND NEW 1BR in PRESTIGIOUS AQUAVISTA,City of Toronto,PleaseContact,BRAND NEW SKY PENTHOUSE COLLECTION 1 BR in AQUAVISTA for Rent. Tridel Prestigious collection - Aqua vista with top notch amenities and building right on the LAKE . Internet and Parking is included ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/luxurious-water-condo-brand-new-1br-in-prestigious-aquavista/1533080794
1021,"Basement room for rent,  only one ocupant, no parking available",Markham / York Region,$700.00,"Clean and convenient, private bathroom and kitchen walking distance to mall and grocery stores, in a beautiful neighborhood .",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/basement-room-for-rent-only-one-ocupant-no-parking-available/1533079808
1022,Dufferin and Bloor St W,City of Toronto,$825.00,"Rooms for rent. Walking distance to Dufferin Mall, Dufferin Station, Library, Shops, Restaurant. Very Convenience location. Newly renovated, bright, clean never lived. Ensuite private bathroom 3 pcs. ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/dufferin-and-bloor-st-w/1533078681
1023,Housemates needed!,City of Toronto,$525.00,"Hi, I am a working professional looking for housemates to share a newly renovated upper level unit. It is a 3 bedroom 2 bathroom detached home with huge private backyard. One of the rooms will be ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/housemates-needed/1533078048
1024,student Rooms at York University...Rooms for rent..Student rooms,City of Toronto,$600.00,"Last Chance for Room Rental. We have one Master,one Basement and one 2nd floor (Huge). $600,$700 and $900. Due to Pandamec we have some BEAUTIFUL accommodations left over . You can rent these for ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/student-rooms-at-york-university-rooms-for-rent-student-rooms/1533078019
1025,1 bed room for rent,City of Toronto,$800.00,Only one girl to share 2 bedroom apartment with me for more information please contact me thanks!,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-bed-room-for-rent/1533077985
1026,ROOM FOR RENT DUFFERIN ST,City of Toronto,$600.00,FURNISHED ROOM FOR PERSON WORKING PROFESSIONAL OR STUDENT DUFFERIN ST WI FI AND LAUNDRY FACILITY ON MAIN FLOOR OF HOUSE CLEAN AND QUIET $600SHARE COMMON AREA LIKE WASHROOM AND KITCHEN AREA $600 CALL ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-dufferin-st/1533077860
1027,Room for rent to female only,City of Toronto,$650.00,Furnished room in three bedrooms apartment for rent.it includes separate washroom wifi internet and utilities.,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-to-female-only/1533077819
1028,bayview/16 @Richmond Hill for rent,Markham / York Region,$590.00,"room located on second floor of house new painting, Furnished with table, chair & bed near Bayview & weldrick, close go & bus station renovated bathroom, kitchen Utilities, internet included close ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/bayview-16-richmond-hill-for-rent/1533077570
1029,Furnished Room for Rent from Nov,City of Toronto,$550.00,"Furnished bed rooms with BRAND NEW Bed, Closet, Study Table and Chair). Common space Shared Kitchen, Washroom sharing with young male professionals and Weekend laundry. 4 Min Bus to Kennedy ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-for-rent-from-nov/1533077024
1030,Basement for rent,City of Toronto,PleaseContact,"Two bedroom basement for rent near ttc and plaza, only indian female students needed",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-for-rent/1533076821
1031,BASEMENT FOR RENT,City of Toronto,PleaseContact,"Newly renovated and fully furnished basement with 2 bedrooms, 1 kitchen, and 1 private washroom available for rent starting November 1st, 2020. Preferred for 4 female Indian students or an Indian ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/basement-for-rent/1533076461
1032,Private Room:Private Washroom/AAA LOCATION/Steps to TTCSUBWAY,City of Toronto,$900.00,"Wonderful neighborhood, Amazing Location Very centrally located. 14 minutes walk to Bayview subway station.. 20 minutes walk to North York station. The room is fully furnished and is located in a ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room:private-washroom-aaa-location-steps-to-ttcsubway/1533075547
1033,Furnished Sunny room near Don Mills Subway Stn & Seneca Newnham,Markham / York Region,$700.00,"Available now - looking for a female roommate (One Person Only)- bright sunny room in North York with a very comfortable queen size bed, desk, dresser, a large closet, and large windows with blackout ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/furnished-sunny-room-near-don-mills-subway-stn-seneca-newnham/1533074873
1034,ROOM RENTAL SCARBOROUGH AVAILABLE MALE DESI,City of Toronto,$700.00,ROOM FOR RENT AVAILABLE LOOKING FOR A WORKING PROFESSIONAL OR STUDENT INDIAN/DESI BROWN MALE ONLY (NO OW APPLICATIONS) INCLUDED: * HYDRO * ELECTRICITY * HIGH SPEED INTERNET * LAUNDRY FACILITY ON SITE ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-rental-scarborough-available-male-desi/1533074377
1035,Dufferin Eglinton Share House,City of Toronto,"$1,000.00","3 BDRM backing on forest, deck. 2 rooms available. Child & Pet friendly. Giant kitchen. 1/2 block to dufferin bus. 3 blocks from incoming LRT Dufferin Station. Walk to No Frills, Gym, Parks... 1 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/dufferin-eglinton-share-house/1531141331
1036,"Master Bedroom with its own Separate Entrance available Nov, 15",City of Toronto,$950.00,"Bright, spacious, GROUND FLOOR Master Bedroom for rent. Furnished. Private bathroom, shared kitchen area. 2 Private entrances, main one opens onto patio and backyard. Laundry, WiFi and utilities ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-bedroom-with-its-own-separate-entrance-available-nov-15/1532458547
1037,"Room rent in downtown Toronto (next to U of T/OCAD), $900/M",City of Toronto,$900.00,"Clean and well maintained rooms are available, One shared kitchen and washroom. All utilities are included (as well as WIFI), Public area is maintained periodically by us. Takes only 5-10 minutes to ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-rent-in-downtown-toronto-next-to-u-of-t-ocad-900-m/1524412139
1038,Nov 1st: Female Roommate Wanted (Davenport & Dovercourt),City of Toronto,$780.00,"Available sooner than November 1st also Fully furnished room All utilities, wifi and laundry included Share top floor with two female housemates and one male housemate on middle floor (my 3 yr old ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/nov-1st:-female-roommate-wanted-davenport-dovercourt/1528276806
1039,"One room for rent in four bed rooms detached house ,East York",City of Toronto,$600.00,"In East York , Pape and Gowan avenue , close to all amenities, 1 minute to ttc ; living room , kitchen , back yard ... , furnished ; utilities, Wi-Fi included , available immediately for rent , ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-room-for-rent-in-four-bed-rooms-detached-house-east-york/1527411663
1040,BRAND NEW SKY PENTHOUSE COLLECTION 1 BR in AQUAVISTA for Rent,City of Toronto,PleaseContact,"Luxurious Water condo - BRAND NEW 1BR in TRIDEL AQUAVISTA Tridel Prestigious collection - Aqua vista with top notch amenities and building right on the LAKE . Steps from Harbourfront Centre, Sugar ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/brand-new-sky-penthouse-collection-1-br-in-aquavista-for-rent/1533074299
1041,Room for Rent in North York,City of Toronto,$700.00,"Room for Rent in a townhouse located at Oakdale Village in North York Quiet, peaceful and friendly neighborhood Bus #119 stops at the front of the house Nearest intersection is Jane and Wilson Close ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-in-north-york/1533073954
1042,"Looking for Female Roommate, Basement Bedroom For Rent",City of Toronto,PleaseContact,"1 Bedroom Apartment Available from November 1 in Scarborough Looking for 1 female to share one large bedroom with another female for affordable rent. - Spacious 2 bedroom basement apartment, large ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-female-roommate-basement-bedroom-for-rent/1533073427
1043,Renovated one bed room furnished basement for rent (Scarborough),City of Toronto,"$1,100.00",Renovated one bed room furnished basement for rent (Scarborough) The owner looking for two College/University Students/ A working professional or A young student Couple. (No parking) (If you are ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/renovated-one-bed-room-furnished-basement-for-rent-scarborough/1533072736
1044,SPACE AVAILABLE IN HALL FOR 3 PERSONS FROM DECEMBER 1.,City of Toronto,$280.00,Big space in a new 3bhk lease. Gujarati boys or girls preferred.,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/space-available-in-hall-for-3-persons-from-december-1/1533072730
1045,Master bedroom - ( UPPER LEVEL ),Mississauga / Peel Region,PleaseContact,"Master bedroom for Rent UPPER LEVEL close to westwood mall, bus terminal and Malton go station, 2 mins. Drive to hwy 427. Available from Nov.1st - high speed internet and laundry in site! - 5 min. ...",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/master-bedroom-upper-level/1533070485
1046,QUARANTINE STAY | BRAMPTON | NEAR GORE Rd. & EBENEZER Rd.,Mississauga / Peel Region,PleaseContact,"Quarantine stay with fully furnished accommodation available near Gore Rd and Ebenezer Rd. Includes: - 14 days/13 nights - Fresh, clean and sanitized room - 24hr Wi-Fi",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/quarantine-stay-brampton-near-gore-rd-ebenezer-rd/1533069836
1047,Looking for a female house mate,City of Toronto,$950.00,"Hi, I'm looking for a female housemate...ideally a working professional or student who is independent, neat and organized to share my beautiful bright and Airy triplex. It is located in the much ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-a-female-house-mate/1521492100
1048,Toronto Close to Humber College North Campus Furnished Bedroom,Mississauga / Peel Region,$400.00,"Toronto Close to Humber College North Campus Furnished Bedroom Available from Nov 1st - Room in sharing available for $400 per person (utilities included) -Shared Kitchen -Personal mini fridge, bed ...",https://www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/toronto-close-to-humber-college-north-campus-furnished-bedroom/1533069595
1049,ROOM for rent - Donmills and Eglinton - AVAILABLE JANUARY 2021,City of Toronto,$700.00,$700 per month FILIPINO MALE ONLY or FILIPINO COUPLE or STUDENT INCLUDES: WIFI and hydro. Parking extra. $ please call: 416-369-8090 or text/call 647-671-7110 NEED: -First and last month pay. -must ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-donmills-and-eglinton-available-january-2021/1533068980
1050,Master bedroom in two bedroom apartment in the downtown,City of Toronto,$985.00,"Master bedroom in two bedroom apartment in the downtown 7 minutes walk to Sherbourne station. Furnished and inclusive.. Looking for a roommate for the 2nd bedroom who's clean and respectful, ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-bedroom-in-two-bedroom-apartment-in-the-downtown/1533067597
1051,Monthly Production Room,City of Toronto,PleaseContact,Jam Chamber Rehearsal Studio offers production/recording rooms without equipment on a monthly basis starting at $565 per month. Open 7 days a week. Free parking & wifi. Convenient location near Keele ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/monthly-production-room/1533066790
1052,Room for Rent - YONGE & SHEPPARD,City of Toronto,$865.00,Hello! We are 2 young female professionals (Occupational Therapist and Engineer) looking for a third person to join our house near Yonge & Sheppard. Move in end of November/beginning of December. Our ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-yonge-sheppard/1533066257
1053,1 room + bathroom in 2 bed 2 bath for rent 900$ all included,City of Toronto,$900.00,**Unit:** 1 bedroom+bath in 2 bedroom +bath starting December 1st **Price:** $900 all included **Location:** College and Bathurst **What is your relationship to the unit:** Tennent seeking roommate ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/1-room-bathroom-in-2-bed-2-bath-for-rent-900-all-included/1533066247
1054,FURNISHED PRIVATE ROOM Sheppard and Markham- Located on Sunburst,City of Toronto,$550.00,"FURNISHED PRIVATE ROOM Sheppard and Markham - Located on Sunburst Square M1B 1R3 "" - AVAILABLE FROM Nov 1, 2020, CLOSE TO CENTENNIAL COLLEGE The home is located close to Markham Road and Highway 401 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-private-room-sheppard-and-markham-located-on-sunburst/1533065877
1055,Bright room available,City of Toronto,$499.00,"It was living room. Now is divided professionally by bookshelf, as private room. And divider with a locker in stead of regular door. Furnished with: sofa for sleeping and coffee table and clothes ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bright-room-available/1533065860
1056,Toronto Dufferin & Bloor  一楼单间出租 Room for Rent,City of Toronto,PleaseContact,"One big room for rent, available immediately. Dufferin / Bloor, 5分钟Dufferin地铁, Dufferin Mall. 房间情况:整层共两大间，一厅，独厨独厕 分门。 现已有一单身学生租客， 寻租另一单间。 包上网, 及住。 Txt/Call: 647-949-7336",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/toronto-dufferin-bloor-room-for-rent/1533064924
1057,"Furnished Room & Private Bath, JAN 1st 2021 Yonge St.",City of Toronto,$995.00,"Furnished, quiet BEDROOM, LARGE PRIVATE BATHROOM, use of shared fully equipped kitchen, in shared 2 bedrooms 2 baths apt. TO SHARE WITH FEMALE ONLY Short or long term rental Starting JAN. 1, 2021 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-private-bath-jan-1st-2021-yonge-st/1533064240
1058,Private Room for rent in apartment - Scarborough,City of Toronto,PleaseContact,Looking for a roommate. Private Room for rent in an apartment in Scarborough.It is near by Kennedy subway station. Unit has s spacious closets and wide windows. Unit has a good balcony as well. ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/private-room-for-rent-in-apartment-scarborough/1533063069
1059,"Room in 4 room house, 4 min walk to Lawrence TTC Subway Station",City of Toronto,$750.00,"Unit: Room for rent in shared, two floor, 4 bedroom home. Price: $750/month, some utilities included, internet included, no rental insurance, no parking, unfurnished (we have extra mattress) ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-in-4-room-house-4-min-walk-to-lawrence-ttc-subway-station/1533062828
